date,month,title,language,type,platform_or_distributor,details,source,source_url
2026-05-01,May,An Autumn Summer,English,Movie,Blue Harbor Entertainment,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Animal Farm,English,Movie,Angel Studios / The Imaginarium Studios / Aniventure / Cinesite,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Casa Grande,English,Movie,ESX Entertainment,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Deep Water,English,Movie,Magenta Light Studios / Arclight Films / Simmons/Hamilton Productions,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Hokum,English,Movie,Neon / Image Nation Abu Dhabi / Tailored Films,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,One Spoon of Chocolate,English,Movie,36 Cinema Distribution / Variance Films,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Swapped,English,Movie,Netflix / Skydance Animation,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,The Devil Wears Prada 2,English,Movie,20th Century Studios / Wendy Finerman Productions,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,The Fuzzies,English,Movie,Terror Films,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-05-01,May,Ek Din,Hindi,Movie,Aamir Khan Productions,,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-05-01,May,Kerala Story 2,Hindi,Movie,Zee 5,,Bollymoviereviewz,https://www.bollymoviereviewz.com/2022/01/upcoming-web-series-netflix-prime-disney-hotstarzee-5-sony-hindi-telugu-tamil-release-dates.html
2026-05-01,May,Pankh Hote To Udd Jate,Hindi,Movie,ATS Square,,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-05-01,May,Raja Shivaji,Hindi,Movie,"Jio Studios, Mumbai Film Company",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-05-01,May,El Encargado,English,Show,Hulu,"( Hulu , Season 4)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-05-01,May,Glory,English,Show,Netflix,"(Netflix, new drama series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-05-01,May,Lucky Chow,English,Show,PBS,"(PBS, Season 8)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
